"","x"
"npar",54
"fmin",0.196684142876693
"chisq",118.403854011769
"df",54
"pvalue",1.01389429274512e-06
"baseline.chisq",736.468348591713
"baseline.df",72
"baseline.pvalue",0
"cfi",0.903074609726305
"tli",0.87076614630174
"nnfi",0.87076614630174
"rfi",0.785636673115809
"nfi",0.839227504836857
"pnfi",0.629420628627642
"ifi",0.905631002309971
"rni",0.903074609726305
"logl",-3049.72686395539
"unrestricted.logl",-2990.52493694951
"aic",6207.45372791078
"bic",6407.63768220722
"ntotal",301
"bic2",6236.3803925695
"rmsea",0.0890206576936988
"rmsea.ci.lower",0.0672463953889999
"rmsea.ci.upper",0.110813743857008
"rmsea.pvalue",0.00253135251372161
"rmr",0.102162023531876
"rmr_nomean",0.11182722761275
"srmr",0.0819867241305571
"srmr_bentler",0.0819867241305571
"srmr_bentler_nomean",0.08972569960475
"crmr",0.0927031760103777
"crmr_nomean",0.0972151468646229
"srmr_mplus",0.0862709542603474
"srmr_mplus_nomean",0.0888709473356323
"cn_05",184.424080639429
"cn_01",207.088733744848
"gfi",0.992451576917651
"agfi",0.984903153835302
"pgfi",0.496225788458825
"mfi",0.898540816690848
