"","x"
"npar",36
"fmin",0.206052398964978
"chisq",123.221540598479
"df",54
"pvalue",2.50160984149872e-07
"baseline.chisq",951.383553639365
"baseline.df",72
"baseline.pvalue",0
"cfi",0.921284017295977
"tli",0.895045356394636
"nnfi",0.895045356394636
"rfi",0.827308989275511
"nfi",0.870481741956633
"pnfi",0.652861306467475
"ifi",0.922862927097618
"rni",0.921284017295977
"logl",-3695.32368619231
"unrestricted.logl",-3633.30191410385
"aic",7462.64737238462
"bic",7596.10334191558
"ntotal",301
"bic2",7481.93181549043
"rmsea",0.0925983299636784
"rmsea.ci.lower",0.0710412684028674
"rmsea.ci.upper",0.114275046323877
"rmsea.pvalue",0.00106242192878914
"rmr",0.0982660596239947
"rmr_nomean",0.0982660596239947
"srmr",0.0784903575537368
"srmr_bentler",0.0784903575537368
"srmr_bentler_nomean",0.0784903575537368
"crmr",0.0847891690585068
"crmr_nomean",0.0847891690585068
"srmr_mplus",0.0776913701503125
"srmr_mplus_nomean",0.0776913701503125
"cn_05",176.081495728404
"cn_01",197.715303852337
"gfi",0.919905468438828
"agfi",0.866509114064714
"pgfi",0.551943281063297
"mfi",0.890693341090654
