"lhs","op","rhs","est","start","free","se"
"visual","=~","x1",1,1,0,0
"visual","=~","x2",0.505245120755714,0.768831687943456,1,0.122353159067034
"visual","=~","x3",0.673778339841809,1.18566003204091,2,0.121978206865192
"textual","=~","x4",1,1,0,0
"textual","=~","x5",1.13255129981723,1.2367831515198,3,0.0838590288136961
"textual","=~","x6",0.941241017403839,0.864893699853905,4,0.0680764535781657
"speed","=~","x7",1,1,0,0
"speed","=~","x8",1.10080385382054,1.22699899546431,5,0.152140187366917
"speed","=~","x9",1.07700614791372,0.827111001742395,6,0.218299325582885
"x1","~~","x1",0.523563376851416,0.702115498365477,7,0.129338084472382
"x2","~~","x2",1.12587891581915,0.756725599669148,8,0.144024491679252
"x3","~~","x3",0.774784171761042,0.677235835401158,9,0.114250353165304
"x4","~~","x4",0.347075619311128,0.664100263263395,10,0.0620054108616939
"x5","~~","x5",0.355521507736841,0.859464174937965,11,0.0757433798295172
"x6","~~","x6",0.252043498264792,0.490367734568576,12,0.0483864740491829
"x7","~~","x7",0.588086270503627,0.588733950240048,13,0.101122776921752
"x8","~~","x8",0.54196322151095,0.4790663254756,14,0.0897174323968298
"x9","~~","x9",0.505244112263489,0.491929930045186,15,0.0931643471021601
"visual","~~","visual",0.63317738167915,0.05,16,0.173546153633801
"textual","~~","textual",0.812192446950336,0.05,17,0.138139451577549
"speed","~~","speed",0.332983386898166,0.05,18,0.101996005755354
"visual","~~","textual",0.51968671958715,0,19,0.114805253777296
"visual","~~","speed",0.182391143806778,0,20,0.0688993642595101
"textual","~~","speed",0.195663601871687,0,21,0.0663737191075584
"visual","=~","x1",1,1,0,0
"visual","=~","x2",0.505245120755714,0.896391041964091,22,0.122353159067034
"visual","=~","x3",0.673778339841809,1.15480649601803,23,0.121978206865192
"textual","=~","x4",1,1,0,0
"textual","=~","x5",1.13255129981723,0.990828270861483,24,0.0838590288136961
"textual","=~","x6",0.941241017403839,0.962269541784461,25,0.0680764535781657
"speed","=~","x7",1,1,0,0
"speed","=~","x8",1.10080385382054,1.28230340005326,26,0.152140187366917
"speed","=~","x9",1.07700614791372,0.895418611535035,27,0.218299325582886
"x1","~~","x1",0.572089127253239,0.663902190286026,28,0.123367222328247
"x2","~~","x2",0.89150241633831,0.617447916666667,29,0.116491695520014
"x3","~~","x3",0.573778759264379,0.540409482758621,30,0.0859340443890103
"x4","~~","x4",0.316692851456011,0.632971476537623,31,0.0593086826576674
"x5","~~","x5",0.342838958045482,0.675490900383142,32,0.0728453451033447
"x6","~~","x6",0.419113044607274,0.644515796291608,33,0.0653597089873916
"x7","~~","x7",0.414200087428984,0.534586606910051,34,0.0860943922334362
"x8","~~","x8",0.379717932417989,0.550989822796935,35,0.0774930534806851
"x9","~~","x9",0.388460816164808,0.529173466259298,36,0.0777759342243986
"visual","~~","visual",0.534513044476261,0.05,37,0.163949798728568
"textual","~~","textual",0.759719066931732,0.05,38,0.138638702839055
"speed","~~","speed",0.517407811111739,0.05,39,0.146791468172264
"visual","~~","textual",0.372768778279967,0,40,0.104762226848807
"visual","~~","speed",0.386189463907222,0,41,0.0775733115604363
"textual","~~","speed",0.273588853088482,0,42,0.0787516120134946
".p2.","==",".p26.",-1.11022302462516e-16,0,0,0
".p3.","==",".p27.",-1.11022302462516e-16,0,0,0
".p5.","==",".p29.",-2.22044604925031e-16,0,0,0
".p6.","==",".p30.",-1.11022302462516e-16,0,0,0
".p8.","==",".p32.",-2.22044604925031e-16,0,0,0
".p9.","==",".p33.",-2.22044604925031e-16,0,0,0
