"","x"
"npar",38
"fmin",0.429941364744012
"chisq",64.4912047116018
"df",39
"pvalue",0.00627887036794228
"baseline.chisq",525.923512953259
"baseline.df",55
"baseline.pvalue",0
"cfi",0.945869755893603
"tli",0.92366247626021
"nnfi",0.92366247626021
"rfi",0.82706775299134
"nfi",0.877375315757496
"pnfi",0.622138860264406
"ifi",0.947648441626912
"rni",0.945869755893603
"logl",-1294.86324148235
"unrestricted.logl",-1262.61763912655
"aic",2665.7264829647
"bic",2753.79103127908
"ntotal",75
"bic2",2634.02504344192
"rmsea",0.0933538525275964
"rmsea.ci.lower",0.0498736159879801
"rmsea.ci.upper",0.132812710782224
"rmsea.pvalue",0.0503964166090916
"rmr",0.429125318613852
"rmr_nomean",0.431660625935843
"srmr",0.076275147449372
"srmr_bentler",0.076275147449372
"srmr_bentler_nomean",0.0657878849995135
"crmr",0.0819753892060157
"crmr_nomean",0.0667546112986074
"srmr_mplus",0.0773414471963912
"srmr_mplus_nomean",0.0630251275501809
"cn_05",64.4647329077468
"cn_01",73.6007383045763
"gfi",0.976185991949846
"agfi",0.952982599490721
"pgfi",0.494431866052519
"mfi",0.8437142865492
"ecvi",1.87321606282136
