"lhs","op","rhs","est","start","se"
"ind60","=~","x1",1,1,0
"ind60","=~","x2",2.35747632003639,2.40229944942362,0.193971125372442
"ind60","=~","x3",1.85521299183748,1.80377693604076,0.185733882573121
"dem60","=~","y1",1,1,0
"dem60","=~","y2",1.40611880524136,1.37612773382178,0.235715525667099
"dem60","=~","y3",0.921723824504752,0.933114539041443,0.182397398568631
"dem60","=~","y4",1.27288672835933,1.23548955234864,0.195741312633104
"dem65","=~","y5",1,1,0
"dem65","=~","y6",1.13959064723883,1.14758246776389,0.207066043924331
"dem65","=~","y7",1.33913404245275,1.39050057463955,0.206998824054188
"dem65","=~","y8",1.27094228787965,1.25730698381691,0.210138338477482
"dem60","~","ind60",1.35863267637656,0,0.458194733420592
"dem65","~","ind60",0.734753718050154,0,0.29207835633383
"dem65","~","dem60",0.832957622340497,0,0.118211070317662
"y1","~~","y5",1.15057939660219,0,0.522143557809058
"y2","~~","y4",1.31201110270747,0,1.0156207975045
"y2","~~","y6",1.67334712029745,0,0.987812869562637
"y3","~~","y7",1.05705827361224,0,0.818806182064443
"y4","~~","y8",0.0883629411657912,0,0.624546879373686
"y6","~~","y8",1.60927370309796,0,0.772271495522256
"y1","~1","",5.2507147999551,5.53119547069062,0.33005076878024
"y2","~1","",3.45700729896878,4.4847456252058,0.441023482027485
"y3","~1","",6.3131330506687,6.90445813378533,0.392727402834981
"y4","~1","",4.25105744217304,4.50417943507261,0.399381275233954
"y5","~1","",5.25071479995511,5.11308094161849,0.33005076878024
"y6","~1","",3.45700729896878,2.94426937212202,0.441023482027486
"y7","~1","",6.3131330506687,6.15851347259248,0.392727402834981
"y8","~1","",4.25105744217304,4.26415778031026,0.399381275233954
"x1","~~","x1",0.0802079503342306,0.219490018400396,0.0237896129772607
"x2","~~","x2",0.152996198285434,1.20758243972608,0.105554918416047
"x3","~~","x3",0.380821363073239,0.886185658675215,0.0917209833538754
"y1","~~","y1",2.22668925449651,3.59598696668615,0.635677187218703
"y2","~~","y2",7.90423637628223,8.0917364563346,1.8994972672522
"y3","~~","y3",5.72793213649387,4.76460211685634,1.24678048800945
"y4","~~","y4",3.4820086064459,5.19840917185445,1.03360689511262
"y5","~~","y5",2.6879390484119,3.17978009726313,0.634312424212888
"y6","~~","y6",5.45083599738401,5.09366371025142,1.14487895095533
"y7","~~","y7",3.5213871908285,5.66569223502132,0.886969140628315
"y8","~~","y8",3.135199271982,5.33642320495614,0.89458296999824
"ind60","~~","ind60",0.400953671130939,0.05,0.085113618753297
"dem60","~~","dem60",4.11697154334572,0.05,1.10510421678811
"dem65","~~","dem65",0.172338638782656,0.05,0.282181350396107
"x1","~1","",5.12048887218098,5.09242506418592,0.0867572317037138
"x2","~1","",4.91811013470221,4.79008935026665,0.192567648442947
"x3","~1","",3.69196328502667,3.59272714802901,0.165754009698534
"ind60","~1","",0,0,0
"dem60","~1","",0,0,0
"dem65","~1","",0,0,0
".p21.","==",".p25.",-8.88178419700125e-16,0,0
".p22.","==",".p26.",-4.44089209850063e-16,0,0
".p23.","==",".p27.",0,0,0
".p24.","==",".p28.",0,0,0
