"lhs","op","rhs","est","start","se"
"ind60","=~","x1",1,1,0
"ind60","=~","x2",2.3007835425304,2.19339071974215,0.206687228575932
"ind60","=~","x3",1.97668612472579,1.82366879286193,0.237342065101213
"dem60","=~","y1",1,1,0
"dem60","=~","y2",1.37206736789837,1.29603565308136,0.231077970493578
"dem60","=~","y3",1.07400112534262,1.05536064389116,0.1654357730491
"dem60","=~","y4",1.27945902182261,1.2937499562716,0.195123085627724
"dem65","=~","y5",1,1,0
"dem65","=~","y6",1.2991874849405,1.30282032511249,0.260536886639955
"dem65","=~","y7",1.38061659745108,1.4031904297342,0.209835613838796
"dem65","=~","y8",1.31193841111587,1.40117898631236,0.226414075498153
"dem60","~","ind60",1.75508737452739,0,0.545210215082484
"dem65","~","ind60",0.666842777216641,0,0.284878477090421
"dem65","~","dem60",0.80966019653057,0,0.113131789786406
"y1","~~","y5",0.419365007318426,0,0.329374303416425
"y2","~~","y4",1.43263084126747,0,0.718937301415072
"y2","~~","y6",1.27986003485122,0,0.690126445533194
"y3","~~","y7",0.707212444388916,0,0.588682936230939
"y4","~~","y8",0.296529363709948,0,0.419884573103511
"y6","~~","y8",0.970226920124511,0,0.552358546835499
"x1","~~","x1",0.0531496443334313,0.268574364644271,0.0166150398721981
"x2","~~","x2",0.149172743989888,1.14105349351746,0.0680571195510865
"x3","~~","x3",0.404740829899143,0.988012048469139,0.0885577927334735
"y1","~~","y1",1.41244779580031,3.43928288288288,0.402519466618483
"y2","~~","y2",6.14361945848827,7.78990811088416,1.36781500670312
"y3","~~","y3",4.07990830384489,5.38212363870104,0.898403888785987
"y4","~~","y4",2.78536048230265,5.60946588835352,0.725341361002692
"y5","~~","y5",1.88536407899853,3.41284504111982,0.445349332954699
"y6","~~","y6",3.71517903825903,5.68766254559105,0.877226768150112
"y7","~~","y7",2.92722755363714,5.39968595934149,0.704141139666421
"y8","~~","y8",2.82743474271189,5.26693584131811,0.677025821554475
"ind60","~~","ind60",0.321790963717841,0.05,0.0981382753456211
"dem60","~~","dem60",3.57271724164383,0.05,1.07768280524235
"dem65","~~","dem65",0.189573307766486,0.05,0.199902372347659
