"lhs","op","rhs","est","start","se"
"ind60","=~","x1",1,1,0
"ind60","=~","x2",2.30078044158041,2.19339071974215,0.206685906628565
"ind60","=~","x3",1.97668253228001,1.82366879286193,0.237340737163501
"dem60","=~","y1",1,1,0
"dem60","=~","y2",1.37206417934923,1.29603565308136,0.231077879561971
"dem60","=~","y3",1.0740008779939,1.05536064389116,0.165435703796861
"dem60","=~","y4",1.2794566108746,1.2937499562716,0.19512398137573
"dem65","=~","y5",1,1,0
"dem65","=~","y6",1.29917463451868,1.30282032511249,0.260533793041002
"dem65","=~","y7",1.38060672058487,1.4031904297342,0.209833320893578
"dem65","=~","y8",1.31192668165835,1.40117898631236,0.226411576484191
"dem60","~","ind60",1.75508193259191,0,0.545206365383125
"dem65","~","ind60",0.66685391953735,0,0.284877404383645
"dem65","~","dem60",0.809663123953664,0,0.113131366128
"y1","~~","y5",0.419353827511516,0,0.329375076433242
"y2","~~","y4",1.43263585752599,0,0.718936785196773
"y2","~~","y6",1.27987671472817,0,0.690125874580714
"y3","~~","y7",0.707213530524751,0,0.588682706289484
"y4","~~","y8",0.296517745446761,0,0.419884227772096
"y6","~~","y8",0.970228130143045,0,0.552357603484657
"y1","~1","",5.22475970966239,5.46466666666667,0.283628957065472
"y2","~1","",3.28395935417713,4.25644288,0.372205047569833
"y3","~1","",6.19336360287931,6.56311025333333,0.345458530850593
"y4","~1","",4.13742403449695,4.45253304,0.351135719619278
"y5","~1","",5.22475970966239,5.13625192,0.283628957065472
"y6","~1","",3.28395935417713,2.97807408,0.372205047569833
"y7","~1","",6.19336360287931,6.19626389333333,0.345458530850593
"y8","~1","",4.13742403449695,4.04338968,0.351135719619278
"x1","~~","x1",0.0531496393934413,0.268574364644271,0.0166150465225609
"x2","~~","x2",0.149172987397498,1.14105349351746,0.0680570546666972
"x3","~~","x3",0.404740755817549,0.988012048469139,0.0885577491498387
"y1","~~","y1",1.41243836362752,3.43928288288288,0.402520184199621
"y2","~~","y2",6.14364172838084,7.78990811088416,1.36781429194494
"y3","~~","y3",4.0799196354372,5.38212363870104,0.89840383433031
"y4","~~","y4",2.78535146373364,5.60946588835352,0.725340733539627
"y5","~~","y5",1.88535132148348,3.41284504111982,0.445350603657052
"y6","~~","y6",3.7151895906445,5.68766254559105,0.877225495141333
"y7","~~","y7",2.92723593997754,5.39968595934149,0.704140702968078
"y8","~~","y8",2.82743025545504,5.26693584131811,0.67702493756932
"ind60","~~","ind60",0.32179364049147,0.05,0.0981386575211132
"dem60","~~","dem60",3.57272309281036,0.05,1.07768837040918
"dem65","~~","dem65",0.189579227041672,0.05,0.199904898609294
"x1","~1","",5.12737486144916,5.05438384,0.0820744494748309
"x2","~1","",4.92663262344415,4.79219462666667,0.168822329554556
"x3","~1","",3.70101371309608,3.55768978666667,0.156188431593985
"ind60","~1","",0,0,0
"dem60","~1","",0,0,0
"dem65","~1","",0,0,0
".p21.","==",".p25.",-8.88178419700125e-16,0,0
".p22.","==",".p26.",-4.44089209850063e-16,0,0
".p23.","==",".p27.",0,0,0
".p24.","==",".p28.",0,0,0
