"lhs","op","rhs","est","start","se"
"ind60","=~","x1",1,1,0
"ind60","=~","x2",2.18036742461298,2.19339071974215,0.139948091799499
"ind60","=~","x3",1.8185108674316,1.82366879286193,0.153215516906026
"dem60","=~","y1",1,1,0
"dem60","=~","y2",1.25674633888871,1.29603565308136,0.186749191317355
"dem60","=~","y3",1.05771650321599,1.05536064389116,0.149334067650439
"dem60","=~","y4",1.26478643594702,1.2937499562716,0.151743136413231
"dem65","=~","y5",1,1,0
"dem65","=~","y6",1.18569684289346,1.30282032511249,0.172503010409516
"dem65","=~","y7",1.27951235188344,1.4031904297342,0.161459782255737
"dem65","=~","y8",1.26594750461998,1.40117898631236,0.164315779269381
"dem60","~","ind60",1.48299973372893,0,0.39993128669224
"dem65","~","ind60",0.572336859257702,0,0.235306499192394
"dem65","~","dem60",0.837344415703508,0,0.09945360142517
"y1","~~","y5",0.632098919951807,0,0.376497775601306
"y2","~~","y4",1.33085621947294,0,0.71299639848522
"y2","~~","y6",2.18195466904208,0,0.741068348945284
"y3","~~","y7",0.805704655551772,0,0.633796280395735
"y4","~~","y8",0.352931860007722,0,0.46717281443708
"y6","~~","y8",1.37449310259255,0,0.58361422292274
"x1","~~","x1",0.0826513829054467,0.268574364644271,0.0201160727433105
"x2","~~","x2",0.121425458620569,1.14105349351746,0.0713892713660521
"x3","~~","x3",0.47300948308449,0.988012048469139,0.0909962015692962
"y1","~~","y1",1.9169545769372,3.43928288288288,0.478283437359626
"y2","~~","y2",7.47250047860604,7.78990811088416,1.3730962646387
"y3","~~","y3",5.13594488892157,5.38212363870104,0.987970312894493
"y4","~~","y4",3.19044366257041,5.60946588835352,0.771170396417579
"y5","~~","y5",2.3827408154505,3.41284504111982,0.498685766855595
"y6","~~","y6",5.02091250933322,5.68766254559105,0.913652507173739
"y7","~~","y7",3.47774636295102,5.39968595934149,0.742607784348849
"y8","~~","y8",3.29805969811267,5.26693584131811,0.72139471193396
"ind60","~~","ind60",0.454497507653276,0.05,0.0885069686235939
"dem60","~~","dem60",4.0094931486165,0.05,0.963826512925139
"dem65","~~","dem65",0.174811720538752,0.05,0.224788988520187
